RefDes,Layer,LocationX,LocationY,Rotation
-5V_REG,Top,2.425,1.535,0
3.5VREG,Top,4.875,5.865,90
5.5V_BOOST,Top,2.960,1.900,180
5VA,Top,2.780,1.535,0
5VD,Top,3.020,2.535,90
A,Top,4.800,0.030,180
ADC1,Top,2.913,0.980,90
ADC2,Top,2.705,0.983,90
ADC3,Top,2.502,0.983,90
ADC4,Top,2.305,0.983,90
ADC5,Top,2.103,0.980,90
ADC6,Top,1.903,0.980,90
ADC7,Top,1.702,0.978,90
ADC8,Top,1.502,0.978,90
ADC_IN,Top,2.075,0.290,0
ADC_REF,Top,3.250,1.153,180
B,Top,5.125,0.030,180
BRD1,Top,3.512,6.317,270
C,Top,5.450,0.030,180
C1,Top,5.620,5.650,90
C2,Top,4.760,5.850,90
C3,Top,5.005,5.870,90
C4,Top,4.865,5.980,0
C5,Top,6.060,0.685,90
C6,Top,4.925,0.095,90
C7,Top,5.255,0.090,90
C8,Top,5.585,0.090,90
C9,Top,5.895,0.100,90
C10,Top,3.320,2.600,90
C11,Top,2.600,2.025,0
C12,Top,0.828,2.635,270
C13,Top,2.873,1.255,0
C14,Top,2.667,1.250,0
C15,Top,2.465,1.255,0
C16,Top,2.265,1.255,0
C17,Top,2.067,1.255,0
C18,Top,1.865,1.258,0
C19,Top,1.667,1.258,0
C20,Top,1.465,1.258,0
C21,Top,0.998,2.467,180
C22,Top,1.365,2.652,180
C24,Top,2.610,1.400,0
C25,Top,2.783,1.403,180
C26,Top,2.780,1.765,0
C27,Top,2.425,1.400,180
C28,Top,2.425,1.705,0
C29,Top,1.788,2.495,180
C30,Top,1.637,2.495,180
C31,Top,1.488,2.495,180
C32,Top,1.337,2.494,180
C33,Top,0.760,2.491,180
C34,Top,0.610,2.490,180
C35,Top,0.460,2.490,180
C36,Top,0.310,2.490,180
C37,Top,1.780,1.990,90
C38,Top,1.640,1.990,90
C39,Top,1.500,1.990,90
C40,Top,1.360,1.990,90
C41,Top,0.840,1.935,90
C42,Top,0.645,1.965,90
C43,Top,0.505,1.965,90
C44,Top,0.365,1.965,90
C45,Top,1.790,1.605,0
C46,Top,0.782,1.613,0
C47,Top,0.350,1.570,90
C48,Top,1.340,1.610,0
C49,Top,0.490,0.570,180
C50,Top,0.270,1.170,180
C51,Top,3.163,2.542,270
C52,Top,2.929,2.655,180
C53,Top,2.885,2.515,90
C54,Top,3.055,2.285,0
C55,Top,2.917,1.532,0
C56,Top,2.920,1.700,90
C57,Top,2.705,2.154,270
C58,Top,2.770,2.275,0
C59,Top,3.140,0.877,0
C60,Top,3.362,1.097,0
C61,Top,3.362,0.880,0
